lat,lon,u850,v850,q850,z500,rh850,mslp,t2m,driver,share
6.5,80.0,3.024399,2.2536812,4.9379153,1.4668896,7.375935,4.416916,2.9192698,rh850,0.27944434
6.5,80.25,3.74184,1.8263925,2.3969574,2.035134,6.0835686,5.3636394,4.4117694,rh850,0.23525648
6.5,80.5,2.595723,2.7919621,3.8526294,2.090243,10.676554,6.6954727,7.43219,rh850,0.2954648
6.5,80.75,3.9648037,2.5871077,4.3611298,2.454676,8.952604,7.0381575,6.781732,rh850,0.24771866
6.5,81.0,2.490818,1.9522609,2.3382807,1.7269627,9.7952585,3.5459611,4.0926685,rh850,0.37757993
6.5,81.25,2.3061461,2.0164845,2.2793553,1.7678866,11.223323,3.2671685,4.20554,rh850,0.41466647
6.5,81.5,3.1795514,2.5733202,3.2547033,1.6350698,10.12675,4.0060143,3.4721756,rh850,0.3584997
6.5,81.75,1.9499687,2.1015756,2.7277884,1.6338943,10.358103,3.3878753,1.2906569,rh850,0.44171274
6.5,82.0,2.2802246,1.260442,1.9071436,1.6485593,11.356319,2.8972843,1.3272879,rh850,0.50078005
6.5,82.25,2.989212,1.4375268,3.1028678,1.2036039,10.741615,3.2035563,1.4711813,rh850,0.4447954
6.5,82.5,2.2986765,2.5196195,2.9783905,1.7518171,10.078345,3.252418,1.6765399,rh850,0.41042614
6.5,82.75,2.6033065,0.99730426,2.8418353,1.5167527,10.060679,3.0518837,1.7342046,rh850,0.4411424
6.5,83.0,2.0082622,2.4251747,2.0088956,1.6137116,11.285725,2.7087808,1.6655673,rh850,0.47586733
6.5,83.25,2.872714,2.757499,2.762001,1.5524836,9.875274,3.2451823,1.9654182,rh850,0.3945285
6.5,83.5,2.5000148,0.8615118,2.6732864,1.4767066,10.409993,3.304143,1.7666014,rh850,0.45276085
6.5,83.75,3.1558826,1.9873443,3.097969,1.6127715,9.969982,3.3505316,1.7792233,rh850,0.39953917
6.5,84.0,3.1053126,1.274068,3.6673365,1.590425,9.893907,2.659876,1.8163196,rh850,0.4121217
6.5,84.25,2.6363556,1.3401079,2.6267235,1.7941799,10.550557,2.7754157,1.3731079,rh850,0.4568043
6.5,84.5,2.3836887,2.2792602,3.0142758,1.260866,9.669418,2.776403,1.7766262,rh850,0.41749537
6.5,84.75,2.1173754,2.0349936,2.9268124,1.2763486,10.532339,2.5992079,1.7375846,rh850,0.45349807
6.5,85.0,2.0068974,1.2316691,2.5329971,1.3647479,9.686132,2.4607372,1.833331,rh850,0.45869943
6.5,85.25,2.6974165,2.0083861,3.576657,1.7371749,9.961714,2.4073956,1.4703112,rh850,0.41752335
6.5,85.5,2.9691243,1.3759001,2.7304907,1.2542812,9.915339,2.770695,1.1182978,rh850,0.4479661
6.5,85.75,2.6028297,2.2527838,3.11067,1.7266654,9.414282,2.9925497,1.4251764,rh850,0.40018272
6.5,86.0,2.8870215,2.098808,2.9149985,1.4153302,10.065231,2.905374,1.5411232,rh850,0.42241395
6.5,86.25,2.5552957,1.288417,3.0950396,1.9033757,8.064233,3.1041844,1.1887165,rh850,0.38040158
6.5,86.5,2.6805105,2.3517098,3.011325,1.5336947,10.394515,2.48141,1.4250509,rh850,0.4353137
6.5,86.75,3.9216475,3.5319798,2.9770622,1.8695319,10.216318,2.691114,1.7239373,rh850,0.37934324
6.5,87.0,3.3767345,4.420509,3.1544662,1.8031578,10.062669,3.0082245,1.6709936,rh850,0.36595842
6.5,87.25,2.5361867,2.7463467,2.9518883,1.7060548,9.999534,2.5522172,1.545151,rh850,0.41599935
6.5,87.5,2.5056674,4.845785,2.5560489,1.7521311,11.457653,2.2052743,1.8582761,rh850,0.4215342
6.5,87.75,2.741143,4.944925,2.3908505,2.0092504,10.533895,2.257111,1.6003181,rh850,0.39784336
6.5,88.0,3.1043375,4.928035,3.1691859,1.719008,11.597622,2.228509,2.5860195,rh850,0.3953818
6.5,88.25,3.3696504,3.2525465,3.2585356,2.0270412,10.134198,2.58345,1.7291366,rh850,0.384533
6.5,88.5,2.3686464,3.435299,2.560846,1.4784992,10.401856,1.8955562,2.626885,rh850,0.4199786
6.5,88.75,2.6275878,2.4494884,3.3583486,1.5260705,10.056054,1.5971252,2.2646883,rh850,0.421119
6.5,89.0,2.8427753,2.0199919,2.9326308,1.9562316,7.833981,1.6245106,1.5259337,rh850,0.3777952
6.5,89.25,2.9577756,2.9151149,2.7934127,1.9937568,8.551238,1.5926698,2.171049,rh850,0.3721972
6.5,89.5,3.0673723,1.2876849,2.7683697,1.5330379,7.818095,1.93205,1.6869813,rh850,0.389084
6.5,89.75,2.9756227,4.6617455,2.711053,1.7409581,8.573451,2.0890067,1.5799923,rh850,0.3523554
6.5,90.0,3.1598313,2.298306,2.1181922,1.1766511,7.6724076,2.0542002,1.5230513,rh850,0.38356975
6.5,90.25,3.1165721,2.2204437,2.168545,1.7228496,7.4264445,1.9733499,1.2487432,rh850,0.37362096
6.5,90.5,2.279654,3.7372496,2.935261,1.6126753,8.402109,1.7185665,2.0660117,rh850,0.36929867
6.5,90.75,2.599388,3.1589158,2.7476726,1.4629011,8.070535,1.618386,2.1667972,rh850,0.36979082
6.5,91.0,2.478277,4.3967824,2.6310704,1.8347973,7.2405705,1.985839,2.2832155,rh850,0.31686634
6.5,91.25,3.231156,2.2742589,2.9326682,1.9668229,8.185531,1.6258765,2.1663957,rh850,0.36570776
6.5,91.5,3.0592108,2.9134758,2.6336653,1.6047939,8.31977,1.7908496,2.7100892,rh850,0.36122885
6.5,91.75,3.4291172,3.7366312,2.378866,1.6676712,9.18242,2.0489063,2.3084097,rh850,0.37097657
6.5,92.0,2.2951055,2.75422,1.8992251,1.8939798,8.491051,1.6165047,2.102301,rh850,0.40332964
6.5,92.25,2.770706,3.5757213,2.4318988,1.6247634,9.988899,2.4479628,2.013893,rh850,0.4019056
6.5,92.5,2.1821072,2.357523,2.314603,1.802895,9.117411,1.7702208,1.9270678,rh850,0.42462206
6.5,92.75,2.4029558,1.7579627,2.2323563,1.836171,8.812538,1.693518,1.7339296,rh850,0.43052185
6.5,93.0,2.5981205,3.1113653,2.5219784,2.181159,8.065527,1.5770534,1.4966952,rh850,0.37423745
6.5,93.25,2.8088484,3.8951557,2.9257607,1.8769205,8.034686,1.5598586,1.4890844,rh850,0.35566953
6.5,93.5,2.649104,1.6437551,2.358294,1.6309339,7.112004,1.5003427,1.5368406,rh850,0.38586608
6.5,93.75,3.1289158,1.8361934,2.5672207,2.368385,6.961581,1.6639452,1.4595667,rh850,0.34832624
6.5,94.0,3.1750867,1.7578857,3.146193,2.2010715,6.8822737,1.784591,1.5476704,rh850,0.3358063
6.5,94.25,3.7490244,2.131332,2.066809,1.8370469,7.579221,1.6033107,1.4944539,rh850,0.3704192
6.5,94.5,3.979402,0.8733525,2.9443078,2.635573,7.0821714,1.6456476,1.2283633,rh850,0.3473557
6.5,94.75,3.8514278,0.95571685,3.4297757,2.0262759,6.495996,1.3940986,1.657803,rh850,0.32789692
6.5,95.0,2.9751995,1.5418582,3.0920203,2.5390575,6.3816805,1.5189415,1.775191,rh850,0.32191774
6.5,95.25,3.370925,0.8840514,2.4045222,2.0644972,5.8672667,1.2197902,1.575304,rh850,0.33746386
6.5,95.5,3.23771,0.74941343,3.4239755,2.5765138,5.9539123,1.403336,1.8879381,rh850,0.3095708
6.5,95.75,2.4654965,1.5852723,3.2081618,2.07667,6.064098,1.4467168,2.1392722,rh850,0.31940365
6.5,96.0,3.6146615,0.81529844,2.9259632,1.9747828,6.5016017,1.4082087,1.9449347,rh850,0.33888188
6.5,96.25,4.42681,0.74939907,2.6917753,1.7669163,6.5281653,1.0651984,1.9956957,rh850,0.33958483
6.5,96.5,4.761428,1.2095968,1.7849306,1.457634,6.1875925,1.6695665,1.3309741,rh850,0.33625072
6.5,96.75,3.8282788,0.75397915,2.7301548,1.5399363,5.6657352,1.5030087,1.2566448,rh850,0.32792115
6.5,97.0,2.4286895,0.60449654,2.548692,1.4556437,5.9802966,1.1408856,1.4537138,rh850,0.38304746
6.5,97.25,3.6614175,0.6716884,3.1101568,1.7019099,5.7169266,1.374164,1.2537621,rh850,0.32686785
6.5,97.5,3.7215824,0.6299198,2.953865,1.5895324,5.4551277,1.5257077,1.1801772,rh850,0.31983793
6.5,97.75,4.5199957,0.7411258,2.9542255,1.8777004,5.7128716,1.4868945,0.97670573,rh850,0.3126996
6.5,98.0,3.7812614,0.5071146,2.5357566,1.5888348,6.106491,1.8191965,1.1578916,rh850,0.3490112
6.5,98.25,3.813594,0.76825315,2.9679177,1.5412503,5.333374,1.4204322,1.0555481,rh850,0.31557736
6.5,98.5,3.6287558,0.602336,2.8140996,1.4033974,5.7659373,1.3230039,0.84193105,rh850,0.3520224
6.5,98.75,4.091111,1.1410894,3.8461876,1.9044584,5.443016,1.5478858,1.1995473,rh850,0.28388527
6.5,99.0,5.13016,0.8886095,2.9462085,1.7971741,5.9293785,1.5007355,0.943271,rh850,0.30986214
6.5,99.25,3.4949806,0.6724171,3.386914,1.6600479,5.6939797,1.7064832,0.79863656,rh850,0.32698727
