index,mean,slope_per_decade,sen_slope_per_decade,pct_per_decade,p_value,significant_95
PRCPTOT,1134.3878,-12.41771929272376,-12.92816722972973,-1.0946626103031618,0.30807611098097826,False
RX1day,90.76325,-0.30441250950617255,-0.2970026456392728,-0.33539180442747124,0.7082132892455366,False
Rx5day,186.79564,-1.6871483832701584,-1.697140225497159,-0.903205445243914,0.35832476578856465,False
R95p,301.11908,2.127012698077159,1.216547648111979,0.7063692878493042,0.6662954809607078,False
R99p,99.29289,1.267870221819197,0.6989777715582596,1.2768992729065018,0.5982837840745147,False
R10,32.661522,-0.5042163303920201,-0.5773559449210999,-1.5437625097703056,0.15185143748546398,False
R20,16.66687,-0.1202578893521937,-0.12915402572884596,-0.7215385282697996,0.5358447599784848,False
CDD,84.68603,0.14910164278143356,0.5690234416239971,0.17606404165569195,0.8970605402789054,False
CWD,13.16029,-0.5103086378516218,-0.5182574932391827,-3.877639831547593,0.000671603829271419,True
SDII,13.422602,0.01400310901814637,0.005808607737223308,0.10432484946882287,0.8380949308506779,False
